cname,sname,id,ResourceID
Catalina Island dudleya,Dudleya virens ssp. hassei,"264",29ba76c8-9a25-4d1a-b84a-e84115c316b6
Catalina Island mountain-mahogany,Cercocarpus traskiae,"265",ff745b10-1c78-40a8-8d41-efe89692e423
Catalina crossosoma,Crossosoma californicum,"266",d8ac3f34-1226-4c08-9856-8440041f6aca
Catalina mountainsnail,Radiocentrum avalonense,"267",5e4966f2-bf87-4004-8fd2-ae959c31f24d
Cedros Island oak,Quercus cedrosensis,"268",b926aa11-9dbf-47af-befc-967bfaaca405
Central Coast Arroyo Willow Riparian Forest,Central Coast Arroyo Willow Riparian Forest,"269",f485a795-94c6-4e7a-a77a-1444f22ade9a
Central Dune Scrub,Central Dune Scrub,"270",c0851b1c-8a1d-45c3-8a2f-f06f54b0df5f
Central Foredunes,Central Foredunes,"271",dd6b6531-161a-4de1-9297-352634d72097
Central Maritime Chaparral,Central Maritime Chaparral,"272",40dcbcc1-ee03-4f4f-bfbb-e94963c2c483
Central Valley Drainage Fall Run Chinook Stream,Central Valley Drainage Fall Run Chinook Stream,"273",674447e3-04c5-407e-a0f5-14afa89ec62b
Central Valley Drainage Hardhead/Squawfish Stream,Central Valley Drainage Hardhead/Squawfish Stream,"274",6dcae63a-14d8-4824-a20b-25731ad4d447
Central Valley Drainage Rainbow Trout/Cyprinid Stream,Central Valley Drainage Rainbow Trout/Cyprinid Stream,"275",27c48432-4e15-4772-a77c-9f07b3f90fa4
Central Valley Drainage Resident Rainbow Trout Stream,Central Valley Drainage Resident Rainbow Trout Stream,"276",6db7ab17-7681-4ee8-b86e-ebf963ac4e10
Central Valley Drainage Spring Stream,Central Valley Drainage Spring Stream,"277",db599701-4c42-4fa6-9251-8c700ff8d1b4
Central Valley Drainage Spring-Run Chinook Stream,Central Valley Drainage Spring-Run Chinook Stream,"278",a15b656e-da7b-4633-af55-74760216efb6
Central Valley Drainage Valley Floor River,Central Valley Drainage Valley Floor River,"279",e2c39516-6873-40da-b6f0-57ae9e4c22c5
Chace juga,Juga chacei,"280",c627c5f3-5fbe-42da-ac85-56dfddd59ce5
Chambers' physaria,Physaria chambersii,"281",2a55ea11-ab8b-44a7-a33b-635c1ba4d38d
Channel Island song sparrow,Melospiza melodia graminea,"282",5283e584-0597-4546-9ede-91dfc8f87464
Channel Island sweat bee,Lasioglossum channelense,"283",a9101da3-ac29-4887-afbe-62114423ecdd
Channel Islands leaf-cutter bee,Ashmeadiella chumashae,"284",f9d268b5-49fa-4321-b874-fedfa2cbb744
Channel Islands slender salamander,Batrachoseps pacificus,"285",c0d8f3e7-d01b-4705-a2a6-65aac102d07e
Channel Islands spotted skunk,Spilogale gracilis amphiala,"286",b52fd601-c97a-43e0-83ca-1c05469210ac
Charleston sandwort,Eremogone congesta var. charlestonensis,"287",41e310df-87a4-4613-94ae-455f5f610c73
Charlotte's phacelia,Phacelia nashiana,"288",73013194-8491-4e11-9221-1d85ad786b63
Chimney Creek nemacladus,Nemacladus calcaratus,"289",23a4eae4-5dfe-4c70-bd2d-380bbe4d84ab
Chinese Camp brodiaea,Brodiaea pallida,"290",d1483e4f-ad38-4cbd-b887-4e3631e98fd6
Choris' popcornflower,Plagiobothrys chorisianus var. chorisianus,"291",7ccddc19-56f5-4a06-95f4-867df9a938ff
Cienega Seca oxytheca,Acanthoscyphus parishii var. cienegensis,"292",ec21b437-a3ee-4c0d-bf25-a11af7a19939
Ciervo aegilian scarab beetle,Aegialia concinna,"293",c3123179-979a-48ea-ba62-f972d7209016
Cima milk-vetch,Astragalus cimae var. cimae,"294",004914cb-ba86-4cbd-b4a7-621e1a28ab16
Cismontane Alkali Marsh,Cismontane Alkali Marsh,"295",0688cfa1-4bdb-4923-8b2d-a0dcedeb93af
Clara Hunt's milk-vetch,Astragalus claranus,"296",3003f9f6-8d7e-42dd-a97d-e2d8ef1ebb00
Clark Mountain green-gentian,Frasera albomarginata var. induta,"297",a0e4c667-0407-4d77-95ba-8ecd5763e8ed
Clark Mountain monardella,Monardella eremicola,"298",a0b712b1-e4b6-4435-931b-5f5012b8b841
Clark Mountain spurge,Euphorbia exstipulata var. exstipulata,"299",d794c94d-ff98-41ff-a5e1-fb33d340e765
Clear Lake Drainage Cyprinid/Catostomid Stream,Clear Lake Drainage Cyprinid/Catostomid Stream,"300",4b70789e-af98-4aba-b95c-6fdff19ab95e
Clear Lake Drainage Resident Trout Stream,Clear Lake Drainage Resident Trout Stream,"301",72862244-c8a8-46f4-8be5-7105431c63e2
Clear Lake Drainage Seasonal Lakefish Spawning Stream,Clear Lake Drainage Seasonal Lakefish Spawning Stream,"302",dfe2a249-1a2e-440d-9079-b1a4c58c332b
Clear Lake hitch,Lavinia exilicauda chi,"303",1623718c-f80e-4948-bd77-63202d0341e6
Clear Lake pyrg,Pyrgulopsis ventricosa,"304",0b07a803-4729-49db-8a7d-b52d33dc0e3c
Clifton's eremogone,Eremogone cliftonii,"305",07f4f6d5-4a75-4834-b184-b452404407c9
Clokey's cryptantha,Cryptantha clokeyi,"306",be8f731f-ef3b-4319-8248-53f25eca7821
Clough Cave harvestman,Calicina cloughensis,"307",11619e7a-a509-435e-aba9-298bed6b8dfb
Coachella Valley fringe-toed lizard,Uma inornata,"308",6099e7a6-5bbd-4aed-a35e-282966bef33f
Coachella Valley jerusalem cricket,Stenopelmatus cahuilaensis,"309",5af2c0e1-705d-45b8-a341-f623104d056a
Coachella Valley milk-vetch,Astragalus lentiginosus var. coachellae,"310",9b8e462c-2e29-4d7b-8ac1-f443d77f8f58
Coachella giant sand treader cricket,Macrobaenetes valgum,"311",17793758-e4f7-4ca5-9dd9-843d8759b0b3
Coast Range lomatium,Lomatium martindalei,"312",f3cb39f4-9911-4e0b-bd21-0376fc3a67c1
Coast Range newt,Taricha torosa,"313",217c446b-c8db-42ae-9646-fe589a4ef64c
Coastal Brackish Marsh,Coastal Brackish Marsh,"314",557e0576-956c-4a95-b6e1-c9547ce85c1c
Coastal Douglas Fir Western Hemlock Forest,Coastal Douglas Fir Western Hemlock Forest,"315",6e5611d9-8851-41bd-a50f-6e059ef6c80f
Coastal Terrace Prairie,Coastal Terrace Prairie,"316",cf43e957-ecb0-41d8-a4ec-0a47ccfcc4e4
Coastal and Valley Freshwater Marsh,Coastal and Valley Freshwater Marsh,"317",38907596-e5bd-44ce-88b6-295537477975
Cobb Mountain lupine,Lupinus sericatus,"318",d8014625-ff46-401b-8902-d2af2cbf5bdb
Cold Spring caddisfly,Lepidostoma ermanae,"319",70c442cc-9b7d-4eb3-a809-9fad78dd8e77
Colorado Desert fringe-toed lizard,Uma notata,"320",a1510ec4-07a1-4a64-b9eb-74dbcec2aaa1
Colorado River cotton rat,Sigmodon arizonae plenus,"321",3cd3d53c-6c44-4e4b-b3c7-18303e7b4b26
Colorado Valley woodrat,Neotoma albigula venusta,"322",029c2b23-4eca-4009-b202-f84f7036e01d
Colorado pikeminnow,Ptychocheilus lucius,"323",0e8cc2e4-0780-47e0-bb95-80bfdac9b99f
Columbia yellow cress,Rorippa columbiae,"324",eae923bf-8401-498f-b519-4f7d37ffa2b4
Colusa grass,Neostapfia colusana,"325",12fcf3b6-2a33-4a20-a31f-b581ea5895ae
Colusa layia,Layia septentrionalis,"326",0f031492-9c94-47fc-b40a-5caa3a9961a3
Comanche Point layia,Layia leucopappa,"327",b015fbc0-d0b7-40f5-ad41-8347135f2d02
Comstock's blue butterfly,Euphilotes battoides comstocki,"328",00f13ce8-0e50-4a1e-bae1-640981164a73
Cone Peak bedstraw,Galium californicum ssp. luciense,"329",a4c8be48-dd20-459b-8ee9-2936b602bd55
Conejo dudleya,Dudleya parva,"330",6ea9812a-f615-47a7-aa11-c85a3acd2f4a
Congdon's lewisia,Lewisia congdonii,"331",9bbbb71d-b9fb-44ec-8c7e-82acd5716b53
Congdon's lomatium,Lomatium congdonii,"332",f3648a7b-f120-49e4-a980-50c4d99734b4
Congdon's tarplant,Centromadia parryi ssp. congdonii,"333",a2d38b71-7cd2-4c88-983b-85092e3a2e3c
Congdon's woolly sunflower,Eriophyllum congdonii,"334",e5d5b4ec-71ad-44b6-bd35-7b4dff9d5ede
Conservancy fairy shrimp,Branchinecta conservatio,"335",609e1a58-6336-498f-bc8e-ed4a5b1ee9ba
Constance's rockcress,Boechera constancei,"336",c28fb3d8-b479-4e65-a2e3-9216dcf8e82b
Contra Costa goldfields,Lasthenia conjugens,"337",036c98ad-e12d-454b-aeb0-e6a8db459e3c
Contra Costa manzanita,Arctostaphylos manzanita ssp. laevigata,"338",f358c425-3090-4f4a-93a2-9ef0209f0c5a
Contra Costa wallflower,Erysimum capitatum var. angustatum,"339",d91d5f2b-efda-42f4-94fb-fb09f1f594c9
Cook's triteleia,Triteleia ixioides ssp. cookii,"340",1aca43e6-b134-4421-9c10-2b2765cd456d
Cooke's phacelia,Phacelia cookei,"341",061d6811-59c6-4d15-b04c-21338fe2a04a
Cooper's hawk,Accipiter cooperii,"342",7b1d5bc3-315a-48be-b9f7-5bacbeb934b3
Cope's leopard lizard,Gambelia copeii,"343",732b9db1-0c0b-4b38-8dfb-2b28e25c620a
Coronado skink,Plestiodon skiltonianus interparietalis,"344",cf522575-fa3a-4509-8bea-d243a5cea05d
Cosumnes stripetail,Cosumnoperla hypocrena,"345",586891c4-9ede-4bed-946c-89d9c1c7d840
Cottonball Marsh,Cottonball Marsh,"346",80ed4659-c569-4aca-a20c-1e354b477f7b
Cottonball Marsh pupfish,Cyprinodon salinus milleri,"347",e3fc915d-d158-420b-bb4d-6002e2748e4f
Couch's spadefoot,Scaphiopus couchii,"348",31d1bda0-bc64-4f13-a6cf-22f1938a5dcc
Coulter's goldfields,Lasthenia glabrata ssp. coulteri,"349",98f3c4ae-dffc-4544-a73e-2116a3722c7c
Coulter's saltbush,Atriplex coulteri,"350",b8c5bfaf-3255-41da-87de-965413c22bdf
Cove's cassia,Senna covesii,"351",881304f0-55e8-4742-a624-21478feb4baa
Coville's purple mat,Nama demissa var. covillei,"352",cb71bc10-bfbb-480b-9781-1e6feebff560
Cow Head tui chub,Siphateles bicolor vaccaceps,"353",3ec04df0-174c-4c2c-8ba3-1b0ddf64635e
Coyote ceanothus,Ceanothus ferrisiae,"354",be2c888d-b1c8-4f25-ba80-75839ccca75c
Crampton's tuctoria or Solano grass,Tuctoria mucronata,"355",750e60cf-3136-4e58-a050-aa8d44a19abd
Crane Flat harvestman,Calicina conifera,"356",5bcb5b62-fa3f-463a-8e78-4c94d6c4904c
Crissal thrasher,Toxostoma crissale,"357",9c881016-5255-43da-8614-a328046800ea
Crotch bumble bee,Bombus crotchii,"358",51525599-2a47-418f-a9e9-ece194e7e146
Crucifixion Thorn Woodland,Crucifixion Thorn Woodland,"359",c062fe42-65b3-4167-ae4d-fc0584c37ba3
Crystal Springs fountain thistle,Cirsium fontinale var. fontinale,"360",4dccb061-1208-43f9-9466-447cd61bc40e
Crystal Springs lessingia,Lessingia arachnoidea,"361",92b68ead-6c3b-446a-b2b8-fed4ad302375
Cuesta Pass checkerbloom,Sidalcea hickmanii ssp. anomala,"362",041dd959-ae75-4eec-b243-f8fb48fdfcd2
Cuesta Ridge thistle,Cirsium occidentale var. lucianum,"363",d9ba18fd-94cd-4db7-9d66-7cf54fc428d1
Cunningham Marsh cinquefoil,Potentilla uliginosa,"364",292f4e42-f750-49f9-8799-c7c1630cff4f
Cup Lake draba,Draba asterophora var. macrocarpa,"365",78e854ac-e01e-40f9-82fd-fe9f4fb13a54
Cushenbury buckwheat,Eriogonum ovalifolium var. vineum,"366",d33b2264-dc09-4c26-a6bc-6837d47af9ba
Cushenbury milk-vetch,Astragalus albens,"367",1bc57117-2f24-4d8e-92a1-4113755ce909
Cushenbury oxytheca,Acanthoscyphus parishii var. goodmaniana,"368",11c17e86-e27f-4a60-817a-c0ad386e0297
Cushenbury rose,Rosa woodsii var. glabrata,"369",91b7efd3-f4c1-430b-88ad-21271a3cdbd6
Cusick's monkeyflower,Diplacus cusickioides,"370",15e29ac3-fee6-40b8-8881-5981af0443ae
Cuyamaca Lake downingia,Downingia concolor var. brevior,"371",b77d8999-b1ef-4c1d-b7fb-5f000ce60f58
Cuyamaca cypress,Hesperocyparis stephensonii,"372",f196d216-cc6f-441e-8bbb-c54fe73e4c97
Cuyamaca larkspur,Delphinium hesperium ssp. cuyamacae,"373",44d7ee8b-e9cc-4a41-9f7f-21bd9a185689
Cuyamaca raspberry,Rubus glaucifolius var. ganderi,"374",b292299e-1116-4afb-8b87-9cab56621aee
Darlington's blazing star,Mentzelia puberula,"375",31bbf88b-cef5-47d7-8267-581446dddd00
Darlingtonia Seep,Darlingtonia Seep,"376",5470b572-aa8e-4f09-91a5-d90fd1827d87
Darwin Mesa milk-vetch,Astragalus atratus var. mensanus,"377",5d8acce4-9003-4f5c-8792-1b1f4d7717ac
Davidson's bush-mallow,Malacothamnus davidsonii,"378",ddf37353-15ab-4de7-8d07-f38794fe6fe9
Davidson's saltscale,Atriplex serenana var. davidsonii,"379",d4fd5af0-e26b-45f3-93c0-0cadc1191fc2
Davy's sedge,Carex davyi,"380",b4bb68f4-a111-4f51-91b8-a3f34de8b6e3
Dean's milk-vetch,Astragalus deanei,"381",a0e2c648-e99c-4757-ae70-d3c32e66aa89
Death Valley June beetle,Polyphylla erratica,"382",e8405b99-fb62-47bc-999c-a8ec7d0baaa7
Death Valley agabus diving beetle,Agabus rumppi,"383",e7062c1a-dc41-49dd-9a11-1f4edb94f611
Death Valley blue-eyed grass,Sisyrinchium funereum,"385",5f9d02ce-146b-4fda-b01f-d6bb6330f8d8
Death Valley round-leaved phacelia,Phacelia mustelina,"386",e449d3c6-3d50-4704-9cb8-b00d48027d2a
Death Valley sandpaper-plant,Petalonyx thurberi ssp. gilmanii,"387",ac2bc4b8-6c18-4284-941d-1135e98e6c48
Dedecker's clover,Trifolium dedeckerae,"388",3215403b-b297-4138-b421-4f8e8a1db8a9
Deep Canyon snapdragon,Pseudorontium cyathiferum,"389",07fb3dd5-4862-4987-ae1a-117c96e3cfd4
Deep Springs fontelicella,Fontelicella sp.,"390",1eb4b802-882d-4e7d-8951-9f3072f54418
Dehesa nolina,Nolina interrata,"391",553eb0e1-5f73-454c-8cd0-a0da9da6961c
Del Mar Mesa sand aster,Corethrogyne filaginifolia var. linifolia,"392",6ab357c9-bafb-4071-8129-a37863d54751
Del Mar manzanita,Arctostaphylos glandulosa ssp. crassifolia,"393",5a2cbb3b-7a7b-44e6-bf9c-98fcf5373c24
Del Norte buckwheat,Eriogonum nudum var. paralinum,"394",795cfb2e-1374-4bab-b5ff-350d06a8db71
Del Norte pyrrocoma,Pyrrocoma racemosa var. congesta,"395",b051a594-2063-4afe-955a-34cadac5dab2
Del Norte salamander,Plethodon elongatus,"396",6a178a31-92fe-47f6-99da-97a66c086849
Delhi Sands flower-loving fly,Rhaphiomidas terminatus abdominalis,"397",8f20a01f-7658-41cc-b133-3fdb9ca54f9f
Delta button-celery,Eryngium racemosum,"398",cbaea6f5-b6df-451d-8fee-ddf9fd82d1bc
Delta green ground beetle,Elaphrus viridis,"399",749a8a87-5b4c-4bff-9e82-2871b8040915
Delta mudwort,Limosella australis,"400",61ef904a-aa0d-4860-9741-a44c4ae2c6ab
Delta smelt,Hypomesus transpacificus,"401",4c1ba9c8-b50e-44b9-93fb-4f6b7fd95a28
Delta tule pea,Lathyrus jepsonii var. jepsonii,"402",29bd1d70-4b76-475d-bc42-22704317a8b0
Denning's cryptic caddisfly,Cryptochia denningi,"403",962df4a9-a9de-4ec6-a4d4-fd980a7dc5c9
Desert Fan Palm Oasis Woodland,Desert Fan Palm Oasis Woodland,"404",7503e52d-91a4-425d-a9e0-6c1ff76a626e
Desert cuckoo wasp,Ceratochrysis longimala,"405",253278b1-149e-4cd7-b29c-dffea6c81688
Detling's silverpuffs,Microseris laciniata ssp. detlingii,"406",fe07ab5b-a1cd-4f35-9965-fe288feb4882
Diablo Canyon blue grass,Poa diaboli,"407",7d648b90-78ea-4e0b-9d0e-c395bf0ef27a
Diablo Range hare-leaf,Lagophylla diabolensis,"408",b0a1f625-8313-4cd1-885b-0eb204a9bdf5
Diablo Range pyrg,Pyrgulopsis diablensis,"409",2b33b37c-2d72-4878-879d-9de1d1db16b6
Diablo helianthella,Helianthella castanea,"410",260796ef-74ec-48ab-b3b8-30cf56175a37
Dog Valley ivesia,Ivesia aperta var. canina,"411",5fd919e0-06ce-40fc-a4a8-49dab732b7a1
Dolloff Cave spider,Meta dolloff,"412",6dc83b11-49c1-4104-a92e-a4087ef56ec9
Donner Pass buckwheat,Eriogonum umbellatum var. torreyanum,"413",9b359585-4903-4e07-8980-a2a140c92551
Dorothy's El Segundo Dune weevil,Trigonoscuta dorothea dorothea,"414",a24ff84f-327f-4f6d-aeef-3fcf66711c5e
Dorr's Cabin jewelflower,Streptanthus morrisonii ssp. hirtiflorus,"415",211c7d7b-e799-4d21-8a32-896bfc7f8a3e
Doyen's trigonoscuta dune weevil,Trigonoscuta sp.,"416",0e6b7a6a-84c1-4f8c-8ce9-d77fecabb1dc
Drummond's false pennyroyal,Hedeoma drummondii,"417",2126eab9-81c6-4bc6-a285-2ec92de46645
Dry Creek cliff strider bug,Oravelia pege,"418",35f650e5-174b-42ab-99e7-67ff61d75743
Dudley's lousewort,Pedicularis dudleyi,"419",3a47530c-9c5f-4b84-870b-ef0a33da04e5
Dudley's rush,Juncus dudleyi,"420",3af6104d-2b77-419a-bbc4-4149cefc0f6f
Dugway wild buckwheat,Eriogonum nutans var. nutans,"421",7587655e-3d1e-4df4-bcc6-a2ba67325745
Dulzura pocket mouse,Chaetodipus californicus femoralis,"422",e458e928-818b-4cfb-ab59-7fa377e88c01
Dunn's mariposa-lily,Calochortus dunnii,"423",ca471434-7198-4f24-b23f-afbb04207a91
Eagle Lake,Eagle Lake,"424",29e279c1-b298-4840-af2a-58a1acceb6ae
Eagle Lake rainbow trout,Oncorhynchus mykiss aquilarum,"425",efa86a0a-8b93-480c-97ed-a584647da95b
Eagle Lake tui chub,Siphateles bicolor ssp. 1,"426",fe367e99-6c22-4f15-adf7-1cce7afdf9e8
Earlimart orache,Atriplex cordulata var. erecticaulis,"427",81888c6e-3bb5-4c67-a603-95060972357a
Earthquake Merriam's kangaroo rat,Dipodomys merriami collinus,"428",50c5feeb-b852-4804-b3df-6dd872d7ab48
Eastwood's brittle-leaf manzanita,Arctostaphylos crustacea ssp. eastwoodiana,"429",a8d7dc7d-fe05-4730-94d0-b24a317037eb
Eastwood's buckwheat,Eriogonum eastwoodianum,"430",4df7972f-3586-4fc9-9a3f-a18fc0a8618b
Eastwood's goldenbush,Ericameria fasciculata,"431",95e12810-7446-4abe-af1e-07a3b8ec7027
Eastwood's larkspur,Delphinium parryi ssp. eastwoodiae,"432",d5e1569c-11b9-4374-b909-6a2d58aae419
Edgewood Park micro-blind harvestman,Microcina edgewoodensis,"433",eea4f92c-721a-4468-97a0-fda186440d5e
Edgewood blind harvestman,Calicina minor,"434",dd9f21da-d803-4410-8f64-4a4cc677b7b3
Egg Lake monkeyflower,Diplacus pygmaeus,"435",95a8b8cf-77d7-47be-867f-195b968444fe
El Dorado County mule ears,Wyethia reticulata,"436",8fcbd7c9-8bf1-4bcb-9ee3-23ce84c189f7
El Dorado bedstraw,Galium californicum ssp. sierrae,"437",9f17726e-4062-4b95-9839-554f2ea0ad6c
El Paso gilia,Gilia mexicana,"438",7593d1f6-a716-4a9c-85db-c94936fbbaa5
El Segundo blue butterfly,Euphilotes battoides allyni,"439",aebb71bc-876e-4609-934e-2dd72f4f545c
El Segundo flower-loving fly,Rhaphiomidas terminatus terminatus,"440",fd036d9f-e801-42e6-8382-b3ae6d4e0e84
Elderberry Savanna,Elderberry Savanna,"441",fc699926-34fc-4ca5-b21a-dc9f30c8bc61
Eliasson's woolly tidestromia,Tidestromia eliassoniana,"442",abf54dd4-0a79-4968-8566-0a979e54e127
Emory's crucifixion-thorn,Castela emoryi,"443",0c9cffcd-d489-47de-8759-8dfed88fc738
Empire Cave pseudoscorpion,Neochthonius imperialis,"444",196a461c-15eb-4b9b-9dd0-76a34a667d65
Empire Cave pseudoscorpion,Fissilicreagris imperialis,"445",ff8fb946-a9fb-46ca-a733-84e5f378a29c
Encinitas baccharis,Baccharis vanessae,"446",f88c5369-7ca3-4d56-b042-d10e6a2a56ec
Engelmann spruce,Picea engelmannii,"447",d7877e91-7dc6-436b-a3b7-83d7fb005568
English Peak greenbrier,Smilax jamesii,"448",0f32ac8b-86e0-46a8-bfd5-85409ce0a431
English sundew,Drosera anglica,"449",d766b286-61b9-4769-b8d8-89c68312526e
Eureka Dunes evening-primrose,Oenothera californica ssp. eurekensis,"450",d09d1be4-8803-4201-8765-aa94f3aae260
Eureka Valley dune grass,Swallenia alexandrae,"451",e465e7fe-eac7-4d5b-90d4-210afc97ca25
Ewan's woodbeauty,Drymocallis cuneifolia var. ewanii,"452",e89f1129-14b2-4b88-8f40-638eddb92357
Fairview slender salamander,Batrachoseps bramei,"453",85a6e133-8d23-4643-9350-3f428946b2f8
Father Crowley's lupine,Lupinus padre-crowleyi,"454",276b640e-1a63-422b-9f0f-058c29592268
Feather River stonecrop,Sedum albomarginatum,"455",7208e72d-9a9f-40d1-8468-60d4cceffa12
Fen,Fen,"456",a5239a7f-675e-4120-b512-c0b6df142dcc
Ferris' milk-vetch,Astragalus tener var. ferrisiae,"457",98371a77-3620-43a0-a151-c8962a743125
Fish Slough milk-vetch,Astragalus lentiginosus var. piscinensis,"458",4b37299d-806a-45f9-80e2-ee01c5b55e83
Fish Slough springsnail,Pyrgulopsis perturbata,"459",00a98271-0246-4ef8-b48d-a17fc9889799
Follett's monardella,Monardella follettii,"460",ee8d79a0-2809-4dc7-8355-e204eb61a7e4
Fort Dick limnephilus caddisfly,Limnephilus atercus,"461",3886b529-82f2-4929-87ff-201c117bccf8
Fort Ord spineflower,Chorizanthe minutiflora,"462",59715ab1-0bd1-4114-9529-92e6b6705e93
Fort Tejon woolly sunflower,Eriophyllum lanatum var. hallii,"463",1e9c5443-8b48-4dd7-8e3b-9db0b4de4f27
Franciscan manzanita,Arctostaphylos franciscana,"464",5c93e5e7-2dec-492c-aa1b-ee5fd7d8d111
Franciscan onion,Allium peninsulare var. franciscanum,"465",966022cf-6ea5-4917-a7c7-a31055a4068b
Franciscan thistle,Cirsium andrewsii,"466",ea1cc328-ab14-451b-8dd4-891c640ec83f
Franklin's bumble bee,Bombus franklini,"467",980aeade-e81a-4888-bbad-d2edb6dff2a7
Freed's jewelflower,Streptanthus brachiatus ssp. hoffmanii,"468",20ddef50-92e2-4720-acd0-554f89afdba5
Fremont barberry,Berberis fremontii,"469",78978663-55d0-4f9b-a5ca-4dee39ab1744
Fremont's gentian,Gentiana fremontii,"470",5728b6b9-ca7f-4681-ac18-eaba2eb7aa95
Fresno kangaroo rat,Dipodomys nitratoides exilis,"471",1ee65641-528e-495a-b44a-f6a6159d39fd
Furnace Creek riffle beetle,Microcylloepus formicoideus,"472",09121e42-ce75-40cd-b8f4-1ba80e245947
Gabilan Mountains manzanita,Arctostaphylos gabilanensis,"473",a9a8aa0a-1c20-4fb9-8c37-054e9ee20e5a
Galena Creek rockcress,Arabis rigidissima var. demota,"474",039c158d-4dd3-452a-8e16-cf9f2d3103c7
Galile's cave harvestman,Banksula galilei,"475",879787dc-1f27-4ad5-a688-679b1f7d68d3
Gambel's water cress,Nasturtium gambelii,"476",75810f01-8284-4e8c-b903-e9cceaa1b6bf
Gander's cryptantha,Cryptantha ganderi,"477",3c00cbe2-8801-493b-b603-a628a644a2a2
Gander's pitcher sage,Lepechinia ganderi,"478",5dd8b2b7-de97-4ff4-8b5f-66f516bee377
Gander's ragwort,Packera ganderi,"479",8bb2fc08-4db6-4723-98ef-25e1154041a2
Gasquet rose,Rosa gymnocarpa var. serpentina,"480",43a9559f-099f-4e1c-b641-ae9450539547
Gaviota tarplant,Deinandra increscens ssp. villosa,"481",1e24e518-06ad-4359-b4f9-8a0e96f3654e
Gentner's fritillary,Fritillaria gentneri,"482",90ad8ecc-608e-48e8-91c8-8d47152f6014
Gerry's curly-leaved monardella,Monardella sinuata ssp. gerryi,"483",5189bb40-79b7-4534-a306-96b6f2d5513c
Gertsch's socalchemmis spider,Socalchemmis gertschi,"484",bd42bfac-8a3e-44fe-872f-fda3b467ed23
Geyer's milk-vetch,Astragalus geyeri var. geyeri,"485",9a666f19-5979-4fc4-ad38-6ebd324e286d
Geysers panicum,Panicum acuminatum var. thermale,"486",6150f6e7-0f0f-44ba-bcdb-8fd4f6d5d495
Gila woodpecker,Melanerpes uropygialis,"487",4e560ae1-9c01-4cf8-b3d2-db005ac489cc
Gilman's buckwheat,Eriogonum gilmanii,"488",0240c42a-c001-4bb4-b887-77c4f816ca16
Gilman's cymopterus,Cymopterus gilmanii,"489",eeeb87f9-d252-4c98-b45c-b13478553d1a
Gilman's goldenbush,Ericameria gilmanii,"490",08f0cc98-1e85-40ed-a1d5-9d711d3d59f3
Gilman's milk-vetch,Astragalus gilmanii,"491",087079c1-e80f-4619-8d76-53575770c4dc
Giuliani's dubiraphian riffle beetle,Dubiraphia giulianii,"492",f0937f92-8fc7-4280-97a5-063ae58b02bf
Goodding's phacelia,Phacelia pulchella var. gooddingii,"493",5ac10fb4-446f-4be1-9044-c3b73f2eeda0
Goose Lake,Goose Lake,"494",15e0afe7-5db2-4b87-b183-aaa6262b9915
Goose Lake Drainage Redband Trout/Lamprey Spawning Stream,Goose Lake Drainage Redband Trout/Lamprey Spawning Stream,"495",66889ff8-228d-47de-97ba-c4308d53509b
Goose Lake Drainage Resident Redband Trout Stream,Goose Lake Drainage Resident Redband Trout Stream,"496",ba9b7166-af4f-44aa-b6e6-35461b3a38d1
